epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,3490.85,0.83281,0.81866,1.36482,0.77019,0.77658,0.80028,0.63596,0.83972,0.96395,1.39014,0.000367967,0.000367967,0.000367967
137,3516.01,0.83534,0.81012,1.34911,0.77177,0.70556,0.79419,0.60238,0.95258,0.98677,1.47721,0.000360108,0.000360108,0.000360108
138,3541.94,0.84572,0.82965,1.37854,0.75639,0.79319,0.79451,0.61226,0.96649,1.01423,1.49105,0.000352249,0.000352249,0.000352249
139,3567.87,0.81994,0.85053,1.35285,0.74548,0.80163,0.81063,0.61477,0.89851,0.89531,1.43283,0.000344389,0.000344389,0.000344389
140,3593.2,0.81919,0.79573,1.35436,0.76603,0.77591,0.80809,0.62184,0.87171,0.95844,1.43281,0.000336529,0.000336529,0.000336529
141,3618.38,0.85061,0.8045,1.37728,0.85599,0.69164,0.82633,0.64164,0.89223,0.8565,1.41768,0.00032867,0.00032867,0.00032867
142,3643.73,0.80991,0.79618,1.3436,0.78476,0.79606,0.81899,0.63676,0.89655,0.89778,1.41667,0.00032081,0.00032081,0.00032081
143,3669.32,0.8154,0.79554,1.35516,0.75306,0.81111,0.78792,0.59824,0.88015,0.88729,1.41391,0.000312951,0.000312951,0.000312951
144,3695.09,0.82894,0.79876,1.36594,0.71237,0.81513,0.80893,0.62904,0.86726,0.91568,1.42761,0.000305092,0.000305092,0.000305092
145,3720.4,0.80541,0.78772,1.34171,0.72166,0.76558,0.81984,0.62622,0.91658,0.90651,1.44558,0.000297232,0.000297232,0.000297232
146,3745.68,0.80974,0.77439,1.33374,0.78264,0.80734,0.83366,0.62492,0.95853,0.86288,1.46719,0.000289372,0.000289372,0.000289372
147,3770.78,0.81326,0.78749,1.34209,0.784,0.81458,0.80912,0.62288,0.90568,0.81002,1.42455,0.000281513,0.000281513,0.000281513
148,3795.42,0.79484,0.77707,1.32071,0.78666,0.81845,0.8155,0.64011,0.87243,0.86378,1.40498,0.000273654,0.000273654,0.000273654
149,3820.17,0.77561,0.75505,1.30483,0.80731,0.78523,0.84183,0.64682,0.94462,0.91901,1.46267,0.000265794,0.000265794,0.000265794
150,3844.97,0.80215,0.77309,1.34086,0.72993,0.78876,0.81293,0.63126,0.89563,0.90464,1.42314,0.000257935,0.000257935,0.000257935
151,3869.64,0.81279,0.79747,1.36027,0.75848,0.78472,0.81666,0.6358,0.87166,0.86754,1.41201,0.000250075,0.000250075,0.000250075
152,3894.19,0.76706,0.73849,1.31165,0.66898,0.83889,0.79999,0.6191,0.91695,0.93387,1.4309,0.000242215,0.000242215,0.000242215
153,3918.95,0.79923,0.76818,1.33541,0.71214,0.84981,0.81473,0.63425,0.85292,0.84167,1.40139,0.000234356,0.000234356,0.000234356
154,3943.66,0.80473,0.76428,1.34637,0.73361,0.74444,0.81355,0.63284,0.87021,0.849,1.41696,0.000226497,0.000226497,0.000226497
155,3968.37,0.8106,0.78975,1.34506,0.76758,0.82586,0.86041,0.64379,0.98258,0.82621,1.4885,0.000218637,0.000218637,0.000218637
156,3994.51,0.79982,0.78569,1.33353,0.70966,0.80125,0.81234,0.61799,0.88065,0.93472,1.41514,0.000210777,0.000210777,0.000210777
157,4020.18,0.78292,0.74138,1.318,0.71249,0.78367,0.82843,0.63925,0.93566,0.98844,1.44251,0.000202918,0.000202918,0.000202918
158,4045.53,0.80631,0.79689,1.33297,0.78924,0.81592,0.84357,0.64813,0.91428,0.86994,1.43174,0.000195058,0.000195058,0.000195058
159,4070.46,0.79238,0.77242,1.33027,0.76351,0.70386,0.8085,0.61931,0.90417,0.87284,1.4323,0.000187199,0.000187199,0.000187199
160,4095.37,0.78421,0.73821,1.32476,0.72458,0.83004,0.79629,0.62185,0.89356,0.86981,1.42655,0.00017934,0.00017934,0.00017934
161,4120.86,0.78359,0.73157,1.31782,0.75407,0.73701,0.81128,0.62667,0.86125,0.85695,1.40633,0.00017148,0.00017148,0.00017148
162,4147.25,0.78585,0.76746,1.32057,0.7171,0.70653,0.7843,0.60671,0.89394,0.959,1.42725,0.00016362,0.00016362,0.00016362
163,4173.93,0.79597,0.7593,1.33015,0.77002,0.73333,0.8216,0.63556,0.87584,0.88715,1.41804,0.000155761,0.000155761,0.000155761
164,4199.72,0.7878,0.76885,1.33666,0.74827,0.72668,0.81933,0.64527,0.84474,0.86366,1.39652,0.000147901,0.000147901,0.000147901
165,4224.95,0.75329,0.72119,1.31432,0.77194,0.67778,0.82851,0.6502,0.85691,0.84442,1.3977,0.000140042,0.000140042,0.000140042
166,4251.13,0.75901,0.74936,1.30823,0.69629,0.74484,0.80504,0.61496,0.89556,0.88849,1.41505,0.000132183,0.000132183,0.000132183
167,4276.56,0.76735,0.72827,1.31317,0.69693,0.74728,0.82189,0.63687,0.86306,0.89203,1.39592,0.000124323,0.000124323,0.000124323
168,4302.69,0.77328,0.74053,1.32115,0.77648,0.66667,0.82103,0.6328,0.88023,0.88004,1.41226,0.000116463,0.000116463,0.000116463
169,4328.41,0.75395,0.72365,1.30581,0.76019,0.71029,0.81264,0.63805,0.82521,0.85701,1.37202,0.000108604,0.000108604,0.000108604
170,4353.89,0.75227,0.68697,1.30435,0.75451,0.73127,0.81783,0.6313,0.85814,0.85583,1.3852,0.000100745,0.000100745,0.000100745
171,4388.24,0.65945,0.59548,1.30424,0.74931,0.73897,0.82371,0.64935,0.85355,0.87446,1.39161,9.2885e-05,9.2885e-05,9.2885e-05
172,4413.74,0.63269,0.57548,1.30151,0.7631,0.73642,0.82306,0.64455,0.87263,0.85342,1.40676,8.50255e-05,8.50255e-05,8.50255e-05
173,4439.41,0.64294,0.59978,1.30826,0.81827,0.74607,0.84383,0.66603,0.86384,0.81824,1.3977,7.7166e-05,7.7166e-05,7.7166e-05
174,4465.12,0.61021,0.56536,1.27181,0.79617,0.80915,0.85116,0.66919,0.88933,0.83989,1.4362,6.93065e-05,6.93065e-05,6.93065e-05
175,4491.61,0.60811,0.57911,1.27894,0.78279,0.7423,0.83667,0.65267,0.8819,0.84768,1.43195,6.1447e-05,6.1447e-05,6.1447e-05
176,4516.85,0.62164,0.54075,1.25663,0.75741,0.72616,0.8303,0.65719,0.86977,0.8514,1.415,5.35875e-05,5.35875e-05,5.35875e-05
177,4541.65,0.59285,0.52942,1.25701,0.8178,0.7399,0.84709,0.6684,0.87878,0.82559,1.42807,4.5728e-05,4.5728e-05,4.5728e-05
